"type";"minutos";"segudos";"miliegundos";"tempo";"threads";"entrada"
"real";0;39;423;"39.423";0;"16k-a"
"real";0;39;133;"39.133";0;"16k-a"
"real";0;39;214;"39.214";0;"16k-a"
"real";0;39;380;"39.380";0;"16k-a"
"real";0;39;182;"39.182";0;"16k-a"
"real";0;39;144;"39.144";0;"16k-a"
"real";0;39;182;"39.182";0;"16k-a"
"real";0;39;239;"39.239";0;"16k-a"
"real";0;39;269;"39.269";0;"16k-a"
"real";0;39;147;"39.147";0;"16k-a"
"real";0;39;241;"39.241";0;"16k-a"
"real";0;39;259;"39.259";0;"16k-a"
"real";0;39;127;"39.127";0;"16k-a"
"real";0;39;172;"39.172";0;"16k-a"
"real";0;39;147;"39.147";0;"16k-a"
"real";0;39;292;"39.292";0;"16k-a"
"real";0;39;376;"39.376";0;"16k-a"
"real";0;39;160;"39.160";0;"16k-a"
"real";0;39;161;"39.161";0;"16k-a"
"real";0;39;132;"39.132";0;"16k-a"
"real";0;45;613;"45.613";0;"16k-b"
"real";0;40;228;"40.228";0;"16k-b"
"real";0;39;317;"39.317";0;"16k-b"
"real";0;39;337;"39.337";0;"16k-b"
"real";0;39;336;"39.336";0;"16k-b"
"real";0;39;295;"39.295";0;"16k-b"
"real";0;39;287;"39.287";0;"16k-b"
"real";0;39;264;"39.264";0;"16k-b"
"real";0;39;303;"39.303";0;"16k-b"
"real";0;39;362;"39.362";0;"16k-b"
"real";0;39;293;"39.293";0;"16k-b"
"real";0;39;345;"39.345";0;"16k-b"
"real";0;39;375;"39.375";0;"16k-b"
"real";0;39;420;"39.420";0;"16k-b"
"real";0;39;571;"39.571";0;"16k-b"
"real";0;39;327;"39.327";0;"16k-b"
"real";0;39;286;"39.286";0;"16k-b"
"real";0;39;352;"39.352";0;"16k-b"
"real";0;39;306;"39.306";0;"16k-b"
"real";0;39;287;"39.287";0;"16k-b"
"real";0;41;253;"41.253";0;"16k-c"
"real";0;38;825;"38.825";0;"16k-c"
"real";0;37;136;"37.136";0;"16k-c"
"real";0;37;131;"37.131";0;"16k-c"
"real";0;37;55;"37.55";0;"16k-c"
"real";0;37;177;"37.177";0;"16k-c"
"real";0;37;144;"37.144";0;"16k-c"
